Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date
AB4B14521FFA251F4FFFDA0C8C6CED93433E7268_1647882614,03/21/2022 05:10:14 PM +0000,Crash Service,"(30.426761,-97.755225)",30.426761,-97.755225,12250 Research Blvd Svrd Sb,ARCHIVED,03/21/2022 05:55:03 PM +0000
853CA591062E389DDA69B6AC891849AA312DAB40_1647881682,03/21/2022 04:54:42 PM +0000,Crash Service,"(30.425034,-97.751737)",30.425034,-97.751737,12006 Research Blvd Svrd Sb,ARCHIVED,03/21/2022 06:05:02 PM +0000
99615B42BAC42A45678BD812782B17BE64C4C6A5_1647883739,03/21/2022 05:28:59 PM +0000,COLLISION WITH INJURY,"(30.288194,-97.576591)",30.288194,-97.576591,N Sh 130 Svrd Sb & N Fm 973 Rd,ARCHIVED,03/21/2022 06:15:03 PM +0000
5991C2EFCFB90EC6BC16FE7A1100F5F49A2EE4A1_1647887416,03/21/2022 06:30:16 PM +0000,Crash Urgent,"(30.309948,-97.711049)",30.309948,-97.711049,0 E 51st Roundabout,ARCHIVED,03/21/2022 06:50:03 PM +0000
C9FDA072FF26A51C24B32E4EC5D71A3C372B8802_1647888104,03/21/2022 06:41:44 PM +0000,Crash Service,"(30.171773,-97.722249)",30.171773,-97.722249,6500-6518 Mc Kinney Falls Pkwy,ARCHIVED,03/21/2022 08:00:03 PM +0000
A238EFA1E6BE785257FFA83915DC0E6EF13B355C_1647890922,03/21/2022 07:28:42 PM +0000,COLLISION WITH INJURY,"(30.276859,-97.599324)",30.276859,-97.599324,Fm 969 Rd & Imperial Dr,ARCHIVED,03/21/2022 08:25:03 PM +0000
3433C310742F1C73C2CD2622BFC3CFB7C6D25350_1647886002,03/21/2022 06:06:42 PM +0000,Crash Urgent,"(30.470364,-97.797152)",30.470364,-97.797152,13900-13949 N Us 183 Hwy Svrd Nb,ARCHIVED,03/21/2022 07:55:02 PM +0000
3154011F0FA752A480FC66220BF9C9BF1336A932_1647892243,03/21/2022 07:50:43 PM +0000,Crash Urgent,"(30.437194,-97.736062)",30.437194,-97.736062,W Parmer Ln & Riata Vista Cir,ARCHIVED,03/21/2022 08:25:03 PM +0000
50DAC89F6D32513B42B26CBB102EBF039700C2E3_1647896177,03/21/2022 08:56:17 PM +0000,Crash Urgent,"(30.419978,-97.703582)",30.419978,-97.703582,W Parmer Ln & N Mopac Expy Svrd Nb,ARCHIVED,03/21/2022 09:05:03 PM +0000
34810FCDC1F46D92A69CB6E76B055A856FDC5580_1647893382,03/21/2022 08:09:42 PM +0000,Crash Urgent,"(30.202624,-97.666984)",30.202624,-97.666984,3600 Presidential Blvd,ARCHIVED,03/21/2022 11:50:02 PM +0000
A02A2FE9596BF1F59BD4CA2ECA3885C814393F10_1647895602,03/21/2022 08:46:42 PM +0000,Crash Urgent,"(30.41903,-97.746429)",30.41903,-97.746429,11647-11697 Research Blvd Svrd Nb,ARCHIVED,03/21/2022 09:20:04 PM +0000
6D1270B059E6137EC41EF691ABD46E1C01A3A0F5_1647898365,03/21/2022 09:32:45 PM +0000,Crash Urgent,"(30.405245,-97.652813)",30.405245,-97.652813,Briargate Dr & Harris Ridge Blvd,ARCHIVED,03/21/2022 09:40:02 PM +0000
8A8EC485492BB9442E4988518BBF5B62ED8501A1_1647899276,03/21/2022 09:47:56 PM +0000,Crash Urgent,"(30.197346,-97.704842)",30.197346,-97.704842,4100-4266 FELTER LN,ARCHIVED,03/21/2022 10:05:03 PM +0000
DFF17A997C0881052E744E1A816ECDE7332018A3_1647899187,03/21/2022 09:46:27 PM +0000,Crash Urgent,"(30.229179,-97.888078)",30.229179,-97.888078,7901 W Us 290 Hwy,ARCHIVED,03/21/2022 10:25:03 PM +0000
54C1792C99A96A96A2881600F0CCE1D81061E8B8_1647900099,03/21/2022 10:01:39 PM +0000,Crash Urgent,"(30.292448,-97.664243)",30.292448,-97.664243,5601-5613 E 51st St,ARCHIVED,03/21/2022 10:55:02 PM +0000
05FA2DE99C48086B28D6E7A491A75F6F313AF79D_1647901418,03/21/2022 10:23:38 PM +0000,Crash Urgent,"(30.440174,-97.697834)",30.440174,-97.697834,Burnet Rd & W Howard Ln,ARCHIVED,03/21/2022 10:55:02 PM +0000
